category,metric,value,note
status,formal,GOLD_V3_260_E8_LIVE_REPRODUCIBLE_PERFORMANCE_REJECTED_AUDIT_ONLY,
live_parity,batch_anchors,533,
live_parity,streaming_anchors,533,
live_parity,batch_events,205,
live_parity,streaming_events,205,
live_parity,exact_matches,205,
live_parity,entry_m1_available,205,
live_parity,entry_m1_missing_fail_closed,0,
live_parity,prefix_checkpoints_passed,40,
live_parity,restart_splits_passed,11,
live_parity,candidate_key_duplicates,0,
live_parity,h1_future_source_violations,0,
live_parity,h4_future_source_violations,0,
path,h60_complete,201,MFE12.14 MAE14.65
path,h120_complete,192,MFE15.54 MAE19.99
path,h180_complete,183,MFE18.66 MAE23.51
path,h240_complete,172,MFE21.31 MAE25.55
full_grid,best_cost0_expectancy,0.477552,H120 TP20 SL5 PF1.142413
criterion,best_cost0_expectancy_ge_3,False,
discovery,cell,H60 TP20 SL15,selected from 2025H1 cost2 only
discovery,2025H1_cost2_expectancy,-0.478056,PF0.890151
selection,2025H2_same_cell_cost2_expectancy,-2.408556,PF0.557784
fixed_test,2026H1_same_cell_cost2_expectancy,-3.057179,PF0.678686
month_stability,cost2_positive_months,6,of 18
month_stability,cost2_negative_months,12,of 18
posthoc_direction,LONG_cost2_expectancy,-2.166738,PF0.619856
posthoc_direction,SHORT_cost2_expectancy,-1.081833,PF0.825007
decision,matched_control_executed,False,absolute performance early-stop
decision,placebos_executed,False,absolute performance early-stop
decision,verdict,LIVE_REPRODUCIBILITY_PASS_PERFORMANCE_REJECT,
operation,live_ready,False,audit-only
