category,metric,value,note
status,formal,GOLD_V3_265_H4_INTRABAR_BREAKOUT_PROMISING_NOT_VALIDATED_AUDIT_ONLY,
H1,cost2_count,104,
H1,cost2_pnl,-217.3418428467303,
H1,cost2_expectancy,-2.0898254119877913,
H1,cost2_pf,0.7382127915753005,
H1,cost2_win_rate,0.38461538461538464,
H1,cost2_max_dd,293.52759325663374,
H1,cost2_gap_fill_rate,0.009615384615384616,
H1,cost5_pnl,-529.3418428467303,
H1,cost5_expectancy,-5.089825411987791,
H1,cost5_pf,0.4838676916236526,
H4,cost2_count,67,
H4,cost2_pnl,247.39374593604725,
H4,cost2_expectancy,3.692443969194735,
H4,cost2_pf,1.4182585341407805,
H4,cost2_win_rate,0.5522388059701493,
H4,cost2_max_dd,157.7698614636929,
H4,cost2_gap_fill_rate,0.014925373134328358,
H4,cost5_pnl,46.39374593604725,
H4,cost5_expectancy,0.6924439691947352,
H4,cost5_pf,1.0674058048377228,
H4,2025_source_expectancy,3.813383603171368,
H4,2026_source_expectancy,3.273186571409072,
H4,long_cost2_pnl,124.68306,
H4,short_cost2_pnl,122.710686,
parity,candidate_prefix,12/12 PASS,
parity,prefix_streaming_replay,16/16 PASS,
tests,regression,4/4 PASS,
decision,H1,REJECTED,
decision,H4,PROMISING_NOT_VALIDATED,
operation,live_ready,False,audit-only
