category,metric,value,note
status,formal,GOLD_V3_260_E6_LIVE_REPRODUCIBLE_PERFORMANCE_REJECTED_AUDIT_ONLY,
live_parity,batch_anchors,545,
live_parity,streaming_anchors,545,
live_parity,batch_failures,113,
live_parity,streaming_failures,113,
live_parity,batch_events,56,
live_parity,streaming_events,56,
live_parity,exact_event_matches,56,
live_parity,entry_m1_available,54,
live_parity,entry_m1_missing_fail_closed,2,no fallback
live_parity,prefix_checkpoints_passed,40,
live_parity,restart_splits_passed,11,
live_parity,candidate_key_duplicates,0,
live_parity,h1_future_source_violations,0,
live_parity,h4_future_source_violations,0,
path,h60_complete,53,
path,h120_complete,53,MFE 12.8791 / MAE 12.2370
path,h180_complete,53,
path,h240_complete,52,
full_grid,best_cost0_expectancy,1.032075,H60 TP5 SL15 PF1.46768
criterion,best_cost0_expectancy_ge_3,False,
discovery,cell,H240 TP10 SL15,selected from 2025H1 cost2 only
discovery,2025H1_cost2_expectancy,-0.8065,PF0.820818
selection,2025H2_same_cell_cost2_expectancy,-4.0595,PF0.470005
fixed_test,2026H1_same_cell_cost2_expectancy,-4.5,PF0.470588
posthoc_failure_type,DEEP_CLOSE_50_cost2_expectancy,0.023125,PF1.004984; promotion prohibited
posthoc_failure_type,INVALID_CLOSE_65_cost2_expectancy,-4.213611,PF0.440196
decision,matched_control_executed,False,absolute performance early-stop
decision,placebos_executed,False,absolute performance early-stop
decision,verdict,LIVE_REPRODUCIBILITY_PASS_PERFORMANCE_REJECT,
operation,live_ready,False,audit-only
